"Plot","PFT","Year","ABGbiomass_gCperm2","ABGbiomass_gNperm2","ABGbiomass_gPperm2","ABGnpp_gCperm2peryear","ABGnpp_gNperm2peryear","ABGnpp_gPperm2peryear","Pretrt_ABGbiomass_gCperm2","Pretrt_ABGbiomass_gNperm2","Pretrt_ABGbiomass_gPperm2","Pretrt_ABGnpp_gCperm2peryear","Pretrt_ABGnpp_gNperm2peryear","Pretrt_ABGnpp_gPperm2peryear"
10,"deciduous conifer",2016,40.01,1.041,0.054,8.072,0.167,0.02,32.369,0.87,0.041,7.379,0.187,0.015
10,"deciduous conifer",2017,44.244,1.244,0.055,6.704,0.176,0.01,32.369,0.87,0.041,7.379,0.187,0.015
10,"deciduous conifer",2018,62.255,1.755,0.076,20.805,0.604,0.028,32.369,0.87,0.041,7.379,0.187,0.015
10,"deciduous conifer",2019,94.724,2.682,0.116,35.498,1.05,0.048,32.369,0.87,0.041,7.379,0.187,0.015
10,"deciduous conifer",2020,138.287,3.546,0.129,55.265,1.422,0.066,32.369,0.87,0.041,7.379,0.187,0.015
10,"deciduous conifer",2021,176.181,4.726,0.187,45.136,1.272,0.068,32.369,0.87,0.041,7.379,0.187,0.015
10,"deciduous tree",2016,0,0,0,0,0,0,0,0,0,0,0,0
10,"deciduous tree",2017,0,0,0,0,0,0,0,0,0,0,0,0
10,"deciduous tree",2018,0,0,0,0,0,0,0,0,0,0,0,0
10,"deciduous tree",2019,0,0,0,0,0,0,0,0,0,0,0,0
10,"deciduous tree",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
10,"deciduous tree",2021,0,0,0,0,0,0,0,0,0,0,0,0
10,"evergreen conifer",2016,604.157,9.388,0.734,70.277,1.16,0.098,525.572,7.131,0.641,64.302,0.843,0.09
10,"evergreen conifer",2017,694.616,11.755,0.836,71.454,1.243,0.104,525.572,7.131,0.641,64.302,0.843,0.09
10,"evergreen conifer",2018,765.168,11.461,0.569,93.341,1.453,0.093,525.572,7.131,0.641,64.302,0.843,0.09
10,"evergreen conifer",2019,874.215,12.631,0.652,128.955,1.87,0.114,525.572,7.131,0.641,64.302,0.843,0.09
10,"evergreen conifer",2020,955.85,13.903,1.087,152.013,2.145,0.175,525.572,7.131,0.641,64.302,0.843,0.09
10,"evergreen conifer",2021,1042.194,14.766,1.182,116.619,1.667,0.147,525.572,7.131,0.641,64.302,0.843,0.09
10,"herb",2016,0.112,0.007,0,0.112,0.007,0,1.253,0.073,0.005,1.253,0.073,0.005
10,"herb",2017,0.116,0.007,0.001,0.116,0.007,0.001,1.253,0.073,0.005,1.253,0.073,0.005
10,"herb",2018,0,0,0,0,0,0,1.253,0.073,0.005,1.253,0.073,0.005
10,"herb",2019,0,0,0,0,0,0,1.253,0.073,0.005,1.253,0.073,0.005
10,"herb",2020,NA,NA,NA,NA,NA,NA,1.253,0.073,0.005,1.253,0.073,0.005
10,"herb",2021,0,0,0,0,0,0,1.253,0.073,0.005,1.253,0.073,0.005
10,"misc",2016,0,0,0,0,0,0,0,0,0,0,0,0
10,"misc",2017,0,0,0,0,0,0,0,0,0,0,0,0
10,"misc",2018,0,0,0,0,0,0,0,0,0,0,0,0
10,"misc",2019,0,0,0,0,0,0,0,0,0,0,0,0
10,"misc",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
10,"misc",2021,6.19,0.173,0.015,6.19,0.173,0.015,0,0,0,0,0,0
10,"sedge",2016,38.58,1.081,0.076,38.58,1.081,0.076,26.016,0.729,0.051,26.016,0.729,0.051
10,"sedge",2017,112.334,3.147,0.222,112.334,3.147,0.222,26.016,0.729,0.051,26.016,0.729,0.051
10,"sedge",2018,27.353,0.766,0.054,27.353,0.766,0.054,26.016,0.729,0.051,26.016,0.729,0.051
10,"sedge",2019,0,0,0,0,0,0,26.016,0.729,0.051,26.016,0.729,0.051
10,"sedge",2020,NA,NA,NA,NA,NA,NA,26.016,0.729,0.051,26.016,0.729,0.051
10,"sedge",2021,0,0,0,0,0,0,26.016,0.729,0.051,26.016,0.729,0.051
10,"shrub",2016,152.102,2.589,0.227,87.402,1.973,0.164,180.639,2.871,0.263,103.182,2.184,0.191
10,"shrub",2017,311.809,4.062,0.354,146.196,2.605,0.199,180.639,2.871,0.263,103.182,2.184,0.191
10,"shrub",2018,250.28,3.58,0.286,120.381,2.173,0.182,180.639,2.871,0.263,103.182,2.184,0.191
10,"shrub",2019,505.942,6.192,0.606,167.289,3.16,0.27,180.639,2.871,0.263,103.182,2.184,0.191
10,"shrub",2020,NA,NA,NA,NA,NA,NA,180.639,2.871,0.263,103.182,2.184,0.191
10,"shrub",2021,511.087,6.439,0.637,204.255,3.368,0.327,180.639,2.871,0.263,103.182,2.184,0.191
10,"Sphagnum",2016,409.55,12.99,1.13,81.677,2.646,0.223,612.7,12.13,1.034,0,0,0
10,"Sphagnum",2017,212.07,6.48,0.52,14.774,0.453,0.036,612.7,12.13,1.034,0,0,0
10,"Sphagnum",2018,81.42,2.58,0.27,47.753,1.511,0.157,612.7,12.13,1.034,0,0,0
10,"Sphagnum",2019,54.08,1.7,0.17,7.647,0.24,0.024,612.7,12.13,1.034,0,0,0
10,"Sphagnum",2020,39.94,1.26,0.13,5.112,0.161,0.017,612.7,12.13,1.034,0,0,0
10,"Sphagnum",2021,70.06,1.48,0.13,8.128,0.172,0.016,612.7,12.13,1.034,0,0,0
11,"deciduous conifer",2016,330.922,8.877,0.415,42.749,0.986,0.113,312.68,8.405,0.393,30.164,0.661,0.097
11,"deciduous conifer",2017,354.019,9.837,0.406,27.23,0.557,0.089,312.68,8.405,0.393,30.164,0.661,0.097
11,"deciduous conifer",2018,375.65,10.437,0.431,49.509,1.219,0.116,312.68,8.405,0.393,30.164,0.661,0.097
11,"deciduous conifer",2019,399.246,11.034,0.458,53.146,1.253,0.124,312.68,8.405,0.393,30.164,0.661,0.097
11,"deciduous conifer",2020,364.562,10.147,0.555,38.941,0.804,0.2,312.68,8.405,0.393,30.164,0.661,0.097
11,"deciduous conifer",2021,389.483,10.44,0.462,45.972,0.906,0.161,312.68,8.405,0.393,30.164,0.661,0.097
11,"deciduous tree",2016,0,0,0,0,0,0,0,0,0,0,0,0
11,"deciduous tree",2017,0,0,0,0,0,0,0,0,0,0,0,0
11,"deciduous tree",2018,0,0,0,0,0,0,0,0,0,0,0,0
11,"deciduous tree",2019,0,0,0,0,0,0,0,0,0,0,0,0
11,"deciduous tree",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
11,"deciduous tree",2021,0,0,0,0,0,0,0,0,0,0,0,0
11,"evergreen conifer",2016,631.708,8.256,0.773,77.163,0.948,0.107,543.323,7.372,0.663,76.13,0.997,0.102
11,"evergreen conifer",2017,766.666,9.518,0.706,80.736,0.977,0.088,543.323,7.372,0.663,76.13,0.997,0.102
11,"evergreen conifer",2018,808.702,10.096,0.719,88.3,1.081,0.092,543.323,7.372,0.663,76.13,0.997,0.102
11,"evergreen conifer",2019,871.568,10.738,0.78,91.658,1.09,0.098,543.323,7.372,0.663,76.13,0.997,0.102
11,"evergreen conifer",2020,888.079,10.47,1.187,95.499,1.03,0.146,543.323,7.372,0.663,76.13,0.997,0.102
11,"evergreen conifer",2021,942.362,11.317,1.263,98.18,1.09,0.158,543.323,7.372,0.663,76.13,0.997,0.102
11,"herb",2016,1.323,0.078,0.006,1.323,0.078,0.006,4.57,0.268,0.02,4.57,0.268,0.02
11,"herb",2017,6.084,0.284,0.032,6.084,0.284,0.032,4.57,0.268,0.02,4.57,0.268,0.02
11,"herb",2018,2.857,0.055,0.016,2.857,0.055,0.016,4.57,0.268,0.02,4.57,0.268,0.02
11,"herb",2019,1.394,0.082,0.006,1.394,0.082,0.006,4.57,0.268,0.02,4.57,0.268,0.02
11,"herb",2020,NA,NA,NA,NA,NA,NA,4.57,0.268,0.02,4.57,0.268,0.02
11,"herb",2021,0.043,0.002,0,0.043,0.002,0,4.57,0.268,0.02,4.57,0.268,0.02
11,"misc",2016,0,0,0,0,0,0,0,0,0,0,0,0
11,"misc",2017,0,0,0,0,0,0,0,0,0,0,0,0
11,"misc",2018,0,0,0,0,0,0,0,0,0,0,0,0
11,"misc",2019,0,0,0,0,0,0,0,0,0,0,0,0
11,"misc",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
11,"misc",2021,9.753,0.273,0.023,9.753,0.273,0.023,0,0,0,0,0,0
11,"sedge",2016,24.248,0.679,0.048,24.248,0.679,0.048,5.761,0.16,0.011,5.632,0.158,0.011
11,"sedge",2017,12.307,0.345,0.024,12.307,0.345,0.024,5.761,0.16,0.011,5.632,0.158,0.011
11,"sedge",2018,61.387,1.72,0.121,61.387,1.72,0.121,5.761,0.16,0.011,5.632,0.158,0.011
11,"sedge",2019,23.921,0.628,0.109,23.921,0.628,0.109,5.761,0.16,0.011,5.632,0.158,0.011
11,"sedge",2020,NA,NA,NA,NA,NA,NA,5.761,0.16,0.011,5.632,0.158,0.011
11,"sedge",2021,1.626,0.046,0.003,1.626,0.046,0.003,5.761,0.16,0.011,5.632,0.158,0.011
11,"shrub",2016,206.029,3.306,0.297,96.19,2.136,0.182,187.874,2.98,0.275,100.305,2.149,0.188
11,"shrub",2017,166.622,2.179,0.208,60.989,1.125,0.103,187.874,2.98,0.275,100.305,2.149,0.188
11,"shrub",2018,105.412,1.837,0.117,36.367,0.46,0.062,187.874,2.98,0.275,100.305,2.149,0.188
11,"shrub",2019,206.747,2.771,0.275,56.944,1.104,0.109,187.874,2.98,0.275,100.305,2.149,0.188
11,"shrub",2020,NA,NA,NA,NA,NA,NA,187.874,2.98,0.275,100.305,2.149,0.188
11,"shrub",2021,439.901,4.995,0.517,69.628,1.256,0.136,187.874,2.98,0.275,100.305,2.149,0.188
11,"Sphagnum",2016,581.72,15.65,1.73,96.504,2.601,0.286,658.83,16.61,0.777,0,0,0
11,"Sphagnum",2017,485.59,11.9,1.18,60.108,1.39,0.12,658.83,16.61,0.777,0,0,0
11,"Sphagnum",2018,399.67,8.72,1.03,117.002,2.742,0.318,658.83,16.61,0.777,0,0,0
11,"Sphagnum",2019,397.2,8.81,1.03,78.695,1.738,0.206,658.83,16.61,0.777,0,0,0
11,"Sphagnum",2020,353.36,7.72,0.9,85.109,1.862,0.216,658.83,16.61,0.777,0,0,0
11,"Sphagnum",2021,353.57,6.42,0.85,45.167,0.82,0.108,658.83,16.61,0.777,0,0,0
13,"deciduous conifer",2016,138.108,3.709,0.173,18.45,0.433,0.048,128.427,3.452,0.161,14.988,0.344,0.043
13,"deciduous conifer",2017,171.508,4.879,0.186,30.542,0.873,0.054,128.427,3.452,0.161,14.988,0.344,0.043
13,"deciduous conifer",2018,190.699,4.737,0.125,38.458,0.956,0.061,128.427,3.452,0.161,14.988,0.344,0.043
13,"deciduous conifer",2019,203.129,5.072,0.122,32.72,0.834,0.05,128.427,3.452,0.161,14.988,0.344,0.043
13,"deciduous conifer",2020,206.661,5.198,0.246,26.818,0.594,0.094,128.427,3.452,0.161,14.988,0.344,0.043
13,"deciduous conifer",2021,210.478,5.672,0.26,25.393,0.69,0.101,128.427,3.452,0.161,14.988,0.344,0.043
13,"deciduous tree",2016,0,0,0,0,0,0,0,0,0,0,0,0
13,"deciduous tree",2017,0,0,0,0,0,0,0,0,0,0,0,0
13,"deciduous tree",2018,0,0,0,0,0,0,0,0,0,0,0,0
13,"deciduous tree",2019,0,0,0,0,0,0,0,0,0,0,0,0
13,"deciduous tree",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
13,"deciduous tree",2021,0,0,0,0,0,0,0,0,0,0,0,0
13,"evergreen conifer",2016,693.98,10.296,0.864,63.203,1.016,0.109,605.033,8.21,0.738,77.35,1.014,0.107
13,"evergreen conifer",2017,757.023,10.497,0.694,67.098,1.025,0.086,605.033,8.21,0.738,77.35,1.014,0.107
13,"evergreen conifer",2018,873.294,11.721,0.89,116.253,1.69,0.173,605.033,8.21,0.738,77.35,1.014,0.107
13,"evergreen conifer",2019,896.948,11.472,0.899,101.099,1.332,0.131,605.033,8.21,0.738,77.35,1.014,0.107
13,"evergreen conifer",2020,899.468,11.418,1.042,93.643,1.198,0.135,605.033,8.21,0.738,77.35,1.014,0.107
13,"evergreen conifer",2021,947.423,14.038,1.406,73.789,1.149,0.147,605.033,8.21,0.738,77.35,1.014,0.107
13,"herb",2016,0,0,0,0,0,0,6.103,0.358,0.026,6.103,0.358,0.026
13,"herb",2017,0.125,0.007,0.001,0.125,0.007,0.001,6.103,0.358,0.026,6.103,0.358,0.026
13,"herb",2018,0.383,0.022,0.002,0.383,0.022,0.002,6.103,0.358,0.026,6.103,0.358,0.026
13,"herb",2019,0.033,0.002,0,0.033,0.002,0,6.103,0.358,0.026,6.103,0.358,0.026
13,"herb",2020,NA,NA,NA,NA,NA,NA,6.103,0.358,0.026,6.103,0.358,0.026
13,"herb",2021,0,0,0,0,0,0,6.103,0.358,0.026,6.103,0.358,0.026
13,"misc",2016,0,0,0,0,0,0,0,0,0,0,0,0
13,"misc",2017,0,0,0,0,0,0,0,0,0,0,0,0
13,"misc",2018,0,0,0,0,0,0,0,0,0,0,0,0
13,"misc",2019,0.027,0.001,0,0.027,0.001,0,0,0,0,0,0,0
13,"misc",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
13,"misc",2021,3.14,0.088,0.008,3.14,0.088,0.008,0,0,0,0,0,0
13,"sedge",2016,18.11,0.507,0.036,18.11,0.507,0.036,14.947,0.419,0.03,14.947,0.419,0.03
13,"sedge",2017,32.515,0.911,0.064,32.515,0.911,0.064,14.947,0.419,0.03,14.947,0.419,0.03
13,"sedge",2018,5.983,0.168,0.012,5.983,0.168,0.012,14.947,0.419,0.03,14.947,0.419,0.03
13,"sedge",2019,4.016,0.113,0.008,4.016,0.113,0.008,14.947,0.419,0.03,14.947,0.419,0.03
13,"sedge",2020,NA,NA,NA,NA,NA,NA,14.947,0.419,0.03,14.947,0.419,0.03
13,"sedge",2021,0,0,0,0,0,0,14.947,0.419,0.03,14.947,0.419,0.03
13,"shrub",2016,123.21,1.821,0.167,57.359,1.248,0.106,286.796,4.398,0.422,162.36,3.232,0.301
13,"shrub",2017,280.664,4.159,0.368,83.736,1.922,0.152,286.796,4.398,0.422,162.36,3.232,0.301
13,"shrub",2018,338.893,4.12,0.343,72.773,1.677,0.128,286.796,4.398,0.422,162.36,3.232,0.301
13,"shrub",2019,442.755,5.518,0.495,136.263,2.646,0.224,286.796,4.398,0.422,162.36,3.232,0.301
13,"shrub",2020,NA,NA,NA,NA,NA,NA,286.796,4.398,0.422,162.36,3.232,0.301
13,"shrub",2021,554.008,6.458,0.653,117.486,2.047,0.206,286.796,4.398,0.422,162.36,3.232,0.301
13,"Sphagnum",2016,1094.85,30.4,3.18,118.986,3.376,0.339,1121.16,24.5,1.459,0,0,0
13,"Sphagnum",2017,853.64,20.87,2.91,96.169,2.29,0.321,1121.16,24.5,1.459,0,0,0
13,"Sphagnum",2018,813.7,22.69,2.13,86.845,2.407,0.227,1121.16,24.5,1.459,0,0,0
13,"Sphagnum",2019,664.31,18.65,1.74,48.164,1.354,0.126,1121.16,24.5,1.459,0,0,0
13,"Sphagnum",2020,505.99,9.8,1.4,60.275,1.167,0.167,1121.16,24.5,1.459,0,0,0
13,"Sphagnum",2021,708.54,13.47,1.3,67.192,1.277,0.124,1121.16,24.5,1.459,0,0,0
16,"deciduous conifer",2016,384.855,10.348,0.487,34.136,0.732,0.12,380.057,10.217,0.477,38.454,0.853,0.12
16,"deciduous conifer",2017,424.399,11.501,0.508,39.17,0.678,0.14,380.057,10.217,0.477,38.454,0.853,0.12
16,"deciduous conifer",2018,438.844,11.183,0.352,56.351,1.073,0.16,380.057,10.217,0.477,38.454,0.853,0.12
16,"deciduous conifer",2019,451.289,11.836,0.36,51.814,1.27,0.159,380.057,10.217,0.477,38.454,0.853,0.12
16,"deciduous conifer",2020,384.734,11.703,0.572,53.603,1.228,0.266,380.057,10.217,0.477,38.454,0.853,0.12
16,"deciduous conifer",2021,455.368,11.856,0.545,48.445,0.911,0.158,380.057,10.217,0.477,38.454,0.853,0.12
16,"deciduous tree",2016,0,0,0,0,0,0,0,0,0,0,0,0
16,"deciduous tree",2017,0.101,0.002,0,0.101,0.002,0,0,0,0,0,0,0
16,"deciduous tree",2018,0,0,0,0,0,0,0,0,0,0,0,0
16,"deciduous tree",2019,0,0,0,0,0,0,0,0,0,0,0,0
16,"deciduous tree",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
16,"deciduous tree",2021,0,0,0,0,0,0,0,0,0,0,0,0
16,"evergreen conifer",2016,1074.851,15.184,1.3,94.614,1.369,0.147,943.77,12.806,1.151,151.98,1.987,0.195
16,"evergreen conifer",2017,1220.153,14.458,1.281,103.154,1.212,0.159,943.77,12.806,1.151,151.98,1.987,0.195
16,"evergreen conifer",2018,1281.865,15.189,1.347,103.398,1.214,0.164,943.77,12.806,1.151,151.98,1.987,0.195
16,"evergreen conifer",2019,1366.845,15.322,1.435,125.528,1.303,0.185,943.77,12.806,1.151,151.98,1.987,0.195
16,"evergreen conifer",2020,1312.734,16.92,1.845,92.437,1.278,0.2,943.77,12.806,1.151,151.98,1.987,0.195
16,"evergreen conifer",2021,1333.047,20.841,2.625,101.802,1.8,0.258,943.77,12.806,1.151,151.98,1.987,0.195
16,"herb",2016,1.392,0.082,0.006,1.392,0.082,0.006,0.29,0.017,0.001,0.29,0.017,0.001
16,"herb",2017,0.4,0.023,0.002,0.4,0.023,0.002,0.29,0.017,0.001,0.29,0.017,0.001
16,"herb",2018,0.911,0.053,0.004,0.911,0.053,0.004,0.29,0.017,0.001,0.29,0.017,0.001
16,"herb",2019,0.455,0.027,0.002,0.455,0.027,0.002,0.29,0.017,0.001,0.29,0.017,0.001
16,"herb",2020,NA,NA,NA,NA,NA,NA,0.29,0.017,0.001,0.29,0.017,0.001
16,"herb",2021,0,0,0,0,0,0,0.29,0.017,0.001,0.29,0.017,0.001
16,"misc",2016,0,0,0,0,0,0,0,0,0,0,0,0
16,"misc",2017,0,0,0,0,0,0,0,0,0,0,0,0
16,"misc",2018,0,0,0,0,0,0,0,0,0,0,0,0
16,"misc",2019,0,0,0,0,0,0,0,0,0,0,0,0
16,"misc",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
16,"misc",2021,0,0,0,0,0,0,0,0,0,0,0,0
16,"sedge",2016,16.55,0.464,0.033,16.55,0.464,0.033,1.499,0.042,0.003,1.499,0.042,0.003
16,"sedge",2017,2.585,0.072,0.005,2.585,0.072,0.005,1.499,0.042,0.003,1.499,0.042,0.003
16,"sedge",2018,46.16,1.293,0.091,46.16,1.293,0.091,1.499,0.042,0.003,1.499,0.042,0.003
16,"sedge",2019,30.011,0.665,0.061,30.011,0.665,0.061,1.499,0.042,0.003,1.499,0.042,0.003
16,"sedge",2020,NA,NA,NA,NA,NA,NA,1.499,0.042,0.003,1.499,0.042,0.003
16,"sedge",2021,0.145,0.004,0,0.145,0.004,0,1.499,0.042,0.003,1.499,0.042,0.003
16,"shrub",2016,197.42,3.128,0.279,95.82,2.155,0.179,258.589,3.876,0.362,105.552,2.281,0.202
16,"shrub",2017,383.87,4.706,0.481,149.023,2.536,0.252,258.589,3.876,0.362,105.552,2.281,0.202
16,"shrub",2018,219.71,2.712,0.291,51.047,1.137,0.12,258.589,3.876,0.362,105.552,2.281,0.202
16,"shrub",2019,382.007,4.739,0.523,139.074,2.175,0.248,258.589,3.876,0.362,105.552,2.281,0.202
16,"shrub",2020,NA,NA,NA,NA,NA,NA,258.589,3.876,0.362,105.552,2.281,0.202
16,"shrub",2021,420.103,4.406,0.53,152.089,1.872,0.265,258.589,3.876,0.362,105.552,2.281,0.202
16,"Sphagnum",2016,1020.82,24.6,2.33,120.227,2.882,0.274,1210.81,27.21,1.656,0,0,0
16,"Sphagnum",2017,559.67,15.43,1.65,71.916,1.909,0.204,1210.81,27.21,1.656,0,0,0
16,"Sphagnum",2018,644.72,18.42,1.94,29.783,0.702,0.079,1210.81,27.21,1.656,0,0,0
16,"Sphagnum",2019,472.63,12.4,1.35,75.126,1.907,0.21,1210.81,27.21,1.656,0,0,0
16,"Sphagnum",2020,332.32,9.58,1,51.482,1.36,0.147,1210.81,27.21,1.656,0,0,0
16,"Sphagnum",2021,357.94,7.4,0.84,29.425,0.608,0.069,1210.81,27.21,1.656,0,0,0
17,"deciduous conifer",2016,299.705,8.04,0.375,22.358,0.433,0.085,297.768,7.915,0.382,53.193,1.218,0.129
17,"deciduous conifer",2017,328.021,9.814,0.507,32.258,0.853,0.128,297.768,7.915,0.382,53.193,1.218,0.129
17,"deciduous conifer",2018,320.678,9.595,0.496,21.218,0.5,0.111,297.768,7.915,0.382,53.193,1.218,0.129
17,"deciduous conifer",2019,362.346,11.102,0.56,66.453,2.206,0.184,297.768,7.915,0.382,53.193,1.218,0.129
17,"deciduous conifer",2020,360.236,10.637,0.611,69.947,2.141,0.289,297.768,7.915,0.382,53.193,1.218,0.129
17,"deciduous conifer",2021,430.969,12.156,0.626,76.116,2.354,0.236,297.768,7.915,0.382,53.193,1.218,0.129
17,"deciduous tree",2016,0,0,0,0,0,0,0,0,0,0,0,0
17,"deciduous tree",2017,0,0,0,0,0,0,0,0,0,0,0,0
17,"deciduous tree",2018,0,0,0,0,0,0,0,0,0,0,0,0
17,"deciduous tree",2019,0,0,0,0,0,0,0,0,0,0,0,0
17,"deciduous tree",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
17,"deciduous tree",2021,0,0,0,0,0,0,0,0,0,0,0,0
17,"evergreen conifer",2016,384.056,6.238,0.462,23.625,0.52,0.043,351.14,4.765,0.428,51.145,0.669,0.068
17,"evergreen conifer",2017,416.21,5.935,0.565,27.57,0.468,0.065,351.14,4.765,0.428,51.145,0.669,0.068
17,"evergreen conifer",2018,368.545,5.255,0.5,-20.966,-0.167,0.019,351.14,4.765,0.428,51.145,0.669,0.068
17,"evergreen conifer",2019,359.904,5.178,0.488,9.179,0.226,0.044,351.14,4.765,0.428,51.145,0.669,0.068
17,"evergreen conifer",2020,323.728,5.521,0.645,24.639,0.47,0.069,351.14,4.765,0.428,51.145,0.669,0.068
17,"evergreen conifer",2021,348.564,5.553,0.788,19.113,0.326,0.073,351.14,4.765,0.428,51.145,0.669,0.068
17,"herb",2016,2.188,0.128,0.009,2.188,0.128,0.009,1.347,0.079,0.006,1.347,0.079,0.006
17,"herb",2017,0.206,0.012,0.001,0.206,0.012,0.001,1.347,0.079,0.006,1.347,0.079,0.006
17,"herb",2018,0,0,0,0,0,0,1.347,0.079,0.006,1.347,0.079,0.006
17,"herb",2019,0,0,0,0,0,0,1.347,0.079,0.006,1.347,0.079,0.006
17,"herb",2020,NA,NA,NA,NA,NA,NA,1.347,0.079,0.006,1.347,0.079,0.006
17,"herb",2021,0,0,0,0,0,0,1.347,0.079,0.006,1.347,0.079,0.006
17,"misc",2016,0,0,0,0,0,0,0,0,0,0,0,0
17,"misc",2017,0,0,0,0,0,0,0,0,0,0,0,0
17,"misc",2018,0,0,0,0,0,0,0,0,0,0,0,0
17,"misc",2019,0,0,0,0,0,0,0,0,0,0,0,0
17,"misc",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
17,"misc",2021,0,0,0,0,0,0,0,0,0,0,0,0
17,"sedge",2016,64.279,1.801,0.127,64.279,1.801,0.127,2.795,0.078,0.006,2.795,0.078,0.006
17,"sedge",2017,30.234,0.847,0.06,30.234,0.847,0.06,2.795,0.078,0.006,2.795,0.078,0.006
17,"sedge",2018,2.49,0.07,0.005,2.49,0.07,0.005,2.795,0.078,0.006,2.795,0.078,0.006
17,"sedge",2019,8.377,0.23,0.023,8.377,0.23,0.023,2.795,0.078,0.006,2.795,0.078,0.006
17,"sedge",2020,NA,NA,NA,NA,NA,NA,2.795,0.078,0.006,2.795,0.078,0.006
17,"sedge",2021,0,0,0,0,0,0,2.795,0.078,0.006,2.795,0.078,0.006
17,"shrub",2016,158.334,2.565,0.23,88.71,1.946,0.165,291.981,4.081,0.39,114.246,2.393,0.215
17,"shrub",2017,166.458,2.502,0.242,75.511,1.589,0.151,291.981,4.081,0.39,114.246,2.393,0.215
17,"shrub",2018,494.624,7.86,0.646,109.525,2.97,0.243,291.981,4.081,0.39,114.246,2.393,0.215
17,"shrub",2019,351.858,4.966,0.486,132.009,2.467,0.259,291.981,4.081,0.39,114.246,2.393,0.215
17,"shrub",2020,NA,NA,NA,NA,NA,NA,291.981,4.081,0.39,114.246,2.393,0.215
17,"shrub",2021,524.054,7.239,0.743,193.981,3.668,0.393,291.981,4.081,0.39,114.246,2.393,0.215
17,"Sphagnum",2016,1803.06,59.21,7.15,113.186,3.696,0.448,1456.29,33.74,2.027,0,0,0
17,"Sphagnum",2017,665.08,20.42,1.75,25.588,0.758,0.067,1456.29,33.74,2.027,0,0,0
17,"Sphagnum",2018,177.27,4.53,0.7,13.662,0.349,0.054,1456.29,33.74,2.027,0,0,0
17,"Sphagnum",2019,277.55,7.08,1.1,9.706,0.247,0.038,1456.29,33.74,2.027,0,0,0
